package_code,procedure_name,tier3_cost,tier2_cost,tier1_cost,category,private_tier1,private_tier2,private_tier3,private_metro
BM001,Thermal burns,7000.0,8200.0,8800.0,BM,28160.0,26240.0,22400.0,35200.0
BM001,Thermal burns,50000.0,56800.0,60000.0,BM,192000.0,181760.0,160000.0,240000.0
BM001,Thermal burns,62500.0,71000.0,75000.0,BM,240000.0,227200.0,200000.0,300000.0
BM001,Thermal burns,100000.0,113600.0,120000.0,BM,384000.0,363520.0,320000.0,480000.0
BM001,Thermal burns,100000.0,113600.0,120000.0,BM,384000.0,363520.0,320000.0,480000.0
BM002,Scald burns,7000.0,8200.0,8800.0,BM,28160.0,26240.0,22400.0,35200.0
BM002,Scald burns,50000.0,56800.0,60000.0,BM,192000.0,181760.0,160000.0,240000.0
BM002,Scald burns,62500.0,71000.0,75000.0,BM,240000.0,227200.0,200000.0,300000.0
BM002,Scald burns,100000.0,113600.0,120000.0,BM,384000.0,363520.0,320000.0,480000.0
BM002,Scald burns,100000.0,113600.0,120000.0,BM,384000.0,363520.0,320000.0,480000.0
BM003,Flame burns,7000.0,8200.0,8800.0,BM,28160.0,26240.0,22400.0,35200.0
BM003,Flame burns,50000.0,56800.0,60000.0,BM,192000.0,181760.0,160000.0,240000.0
BM003,Flame burns,62500.0,71000.0,75000.0,BM,240000.0,227200.0,200000.0,300000.0
BM003,Flame burns,100000.0,113600.0,120000.0,BM,384000.0,363520.0,320000.0,480000.0
BM004,"Electrical contact
burns",37500.0,42600.0,45000.0,BM,144000.0,136320.0,120000.0,180000.0
BM004,"Electrical contact
burns",50000.0,56800.0,60000.0,BM,192000.0,181760.0,160000.0,240000.0
BM004,"Electrical contact
burns",75000.0,85200.0,90000.0,BM,288000.0,272640.0,240000.0,360000.0
BM004,"Electrical contact
burns",62500.0,71000.0,75000.0,BM,240000.0,227200.0,200000.0,300000.0
BM005,Chemical burns,50000.0,56800.0,60000.0,BM,192000.0,181760.0,160000.0,240000.0
BM005,Chemical burns,75000.0,85200.0,90000.0,BM,288000.0,272640.0,240000.0,360000.0
BM006,"Post Burn Contracture
surgeries for
Functional
Improvement",62500.0,71000.0,75000.0,BM,240000.0,227200.0,200000.0,300000.0
BM006,"Post Burn Contracture
surgeries for
Functional
Improvement",62500.0,71000.0,75000.0,BM,240000.0,227200.0,200000.0,300000.0
ER001,"Laceration - Suturing /
Dressing",2000.0,2300.0,2300.0,ER,7360.0,7360.0,6400.0,9200.0
ER002,"Cardiopulmonary
emergency",2000.0,2300.0,2300.0,ER,7360.0,7360.0,6400.0,9200.0
ER002,"Cardiopulmonary
emergency",11000.0,12300.0,12300.0,ER,39360.0,39360.0,35200.0,49200.0
ER003,"Animal bites
(Excluding Snake Bite)",1700.0,2000.0,2000.0,ER,6400.0,6400.0,5440.0,8000.0
SB001,"Fracture -
Conservative
Management -
Without plaster",2300.0,2600.0,2900.0,SB,9280.0,8320.0,7360.0,11600.0
SU073,"Emergency
management of
Hematuria",2700.0,3000.0,3200.0,SU,10240.0,9600.0,8640.0,12800.0
HD001,Lymphangiography,10920.0,10920.0,10920.0,HD,34944.0,34944.0,34944.0,43680.0
HD002,"Diagnostic venography
(DVA)",5520.0,5520.0,5520.0,HD,17664.0,17664.0,17664.0,22080.0
HD003,"IVUS(Intravascular
Ultrasound)-
peripheral vessels",16560.0,16560.0,16560.0,HD,52992.0,52992.0,52992.0,66240.0
HD004,Diskography,5520.0,5520.0,5520.0,HD,17664.0,17664.0,17664.0,22080.0
HD005,"USG guided
percutaneous biopsy",2520.0,2520.0,2520.0,HD,8064.0,8064.0,8064.0,10080.0
HD006,"USG guided
percutaneous FNAC",720.0,720.0,720.0,HD,2304.0,2304.0,2304.0,2880.0
HD007,"USG guided
percutaneous needle
aspiration",720.0,720.0,720.0,HD,2304.0,2304.0,2304.0,2880.0
HD008,"CT guided
percutaneous biopsy",3720.0,3720.0,3720.0,HD,11904.0,11904.0,11904.0,14880.0
HD009,"CT guided
percutaneous FNAC",3120.0,3120.0,3120.0,HD,9984.0,9984.0,9984.0,12480.0
HD010,"CT guided
percutaneous needle
aspiration",3120.0,3120.0,3120.0,HD,9984.0,9984.0,9984.0,12480.0
HD011,Genetic workup,20000.0,20000.0,20000.0,HD,64000.0,64000.0,64000.0,80000.0
HD012,Metabolic work up,30000.0,30000.0,30000.0,HD,96000.0,96000.0,96000.0,120000.0
HD013,"Vedio EEG Monitoring
Test (VEEG)",3600.0,3600.0,3600.0,HD,11520.0,11520.0,11520.0,14400.0
HM001,"Recombinant tissue
plasminogen activator",42000.0,42000.0,42000.0,HM,134400.0,134400.0,134400.0,168000.0
HM002,Tenecteplase,24900.0,24900.0,24900.0,HM,79680.0,79680.0,79680.0,99600.0
HM003,Heparin,15000.0,15000.0,15000.0,HM,48000.0,48000.0,48000.0,60000.0
HM004,Methylprednisolone,25000.0,25000.0,25000.0,HM,80000.0,80000.0,80000.0,100000.0
HM005,Erythropoeitin,0.0,0.0,0.0,HM,0.0,0.0,0.0,0.0
HM006,"Liposomal
amphotericin",125000.0,125000.0,125000.0,HM,400000.0,400000.0,400000.0,500000.0
HM007,IVIG,200000.0,200000.0,200000.0,HM,640000.0,640000.0,640000.0,800000.0
HM008,"IvIg for Kawasaki
Disease",2000.0,2000.0,2000.0,HM,6400.0,6400.0,6400.0,8000.0
HM009,IvIg for GB Syndrome,2000.0,2000.0,2000.0,HM,6400.0,6400.0,6400.0,8000.0
HM010,IvIg for ITP,2000.0,2000.0,2000.0,HM,6400.0,6400.0,6400.0,8000.0
HM011,Rituximab,7500.0,7500.0,7500.0,HM,24000.0,24000.0,24000.0,30000.0
HM012,Human Albumin 20%,6000.0,6000.0,6000.0,HM,19200.0,19200.0,19200.0,24000.0
HM013,Albumin 5%,3000.0,3000.0,3000.0,HM,9600.0,9600.0,9600.0,12000.0
HM017,Imipenem,7000.0,7000.0,7000.0,HM,22400.0,22400.0,22400.0,28000.0
HM018,Meropenem,7000.0,7000.0,7000.0,HM,22400.0,22400.0,22400.0,28000.0
HM019,"Piperacillin-
Tazobactem",3000.0,3000.0,3000.0,HM,9600.0,9600.0,9600.0,12000.0
HM020,Colistin,7000.0,7000.0,7000.0,HM,22400.0,22400.0,22400.0,28000.0
HM021,Vancomycin,2100.0,2100.0,2100.0,HM,6720.0,6720.0,6720.0,8400.0
HM022,"Amphotericin
deoxycholate",1000.0,1000.0,1000.0,HM,3200.0,3200.0,3200.0,4000.0
HP001,"USG guided
percutaneous
Radiofrequency
Ablation (RFA)",26640.0,26640.0,26640.0,HP,85248.0,85248.0,85248.0,106560.0
HP002,"USG guided
percutaneous
Microwave Ablation
(MWA)",30640.0,30640.0,30640.0,HP,98048.0,98048.0,98048.0,122560.0
HP003,"CT guided
percutaneous
Radiofrequency
Ablation (RFA)",29040.0,29040.0,29040.0,HP,92928.0,92928.0,92928.0,116160.0
HP004,"CT guided
percutaneous
Microwave Ablation
(MWA)",33040.0,33040.0,33040.0,HP,105728.0,105728.0,105728.0,132160.0
HP005,"USG guided
percutaneous catheter
drainage",5820.0,5820.0,5820.0,HP,18624.0,18624.0,18624.0,23280.0
HP006,"CT guided
percutaneous catheter
drainage",5820.0,5820.0,5820.0,HP,18624.0,18624.0,18624.0,23280.0
HP007,"Cerebral angiogram
under local anesthesia",5800.0,5800.0,5800.0,HP,18560.0,18560.0,18560.0,23200.0
HP008,"Cerebral angiogram
under general
anesthesia",18900.0,18900.0,18900.0,HP,60480.0,60480.0,60480.0,75600.0
HP009,"Spinal Angiogram
under general
anesthesia",18900.0,18900.0,18900.0,HP,60480.0,60480.0,60480.0,75600.0
HP010,Plasmapheresis,70000.0,70000.0,70000.0,HP,224000.0,224000.0,224000.0,280000.0
ID001,"Laboratory Tests for
COVID-19 Infection
(PCR)
(Reimbursement level
for this package will be
as per the ICMR
guidelines, issued
from time to time)",1500.0,1500.0,1500.0,ID,4800.0,4800.0,4800.0,6000.0
ID001,"Laboratory Tests for
COVID-19 Infection
(PCR)
(Reimbursement level
for this package will be
as per the ICMR
guidelines, issued
from time to time)",3000.0,3000.0,3000.0,ID,9600.0,9600.0,9600.0,12000.0
ID003,"Treatment of COVID-
19 Infection",0.0,0.0,0.0,ID,0.0,0.0,0.0,0.0
ID005,"Treatment of systemic
fungal infections",0.0,0.0,0.0,ID,0.0,0.0,0.0,0.0
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840.0,140160.0,123200.0,184800.0
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840.0,140160.0,123200.0,184800.0
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840.0,140160.0,123200.0,184800.0
MG010,"Chronic PD catheter
Insertion",4100.0,4700.0,4700.0,MG,15040.0,15040.0,13120.0,18800.0
MG082,"Bone marrow
aspiration of biopsy",1200.0,1600.0,1600.0,MG,5120.0,5120.0,3840.0,6400.0
MG083,Lumbar puncture,100.0,200.0,200.0,MG,640.0,640.0,320.0,800.0
MG084,Joint Aspiration,200.0,300.0,300.0,MG,960.0,960.0,640.0,1200.0
MG085,"DVT Pneumatic
Compression
Stockings (Add on
package in ICU)",900.0,1100.0,1200.0,MG,3840.0,3520.0,2880.0,4800.0
MG097,"Endobronchial
Ultrasound (EBUS)",15700.0,18000.0,18000.0,MG,57600.0,57600.0,50240.0,72000.0
SU008,"Nephrostomy -
Percutaneous
ultrasound guided",18800.0,21300.0,22500.0,SU,72000.0,68160.0,60160.0,90000.0
MC001,"Right / Left Heart
Catheterization",12500.0,14200.0,15000.0,MC,48000.0,45440.0,40000.0,60000.0
MC001,"Right / Left Heart
Catheterization",12500.0,14200.0,15000.0,MC,48000.0,45440.0,40000.0,60000.0
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840.0,140160.0,123200.0,184800.0
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840.0,140160.0,123200.0,184800.0
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840.0,140160.0,123200.0,184800.0
MC003,Balloon Dilatation,48300.0,54900.0,57900.0,MC,185280.0,175680.0,154560.0,231600.0
MC003,Balloon Dilatation,48300.0,54900.0,57900.0,MC,185280.0,175680.0,154560.0,231600.0
MC004,"Balloon Pulmonary /
Aortic Valvotomy",29300.0,33300.0,35100.0,MC,112320.0,106560.0,93760.0,140400.0
MC004,"Balloon Pulmonary /
Aortic Valvotomy",29300.0,33300.0,35100.0,MC,112320.0,106560.0,93760.0,140400.0
MC005,"Balloon Mitral
Valvotomy",44700.0,50700.0,53600.0,MC,171520.0,162240.0,143040.0,214400.0
MC006,"Balloon Atrial
Septostomy",30500.0,34700.0,36600.0,MC,117120.0,111040.0,97600.0,146400.0
MC007,ASD Device Closure,46200.0,52400.0,55400.0,MC,177280.0,167680.0,147840.0,221600.0
MC008,VSD Device Closure,47400.0,53900.0,56900.0,MC,182080.0,172480.0,151680.0,227600.0
MC009,PDA Device Closure,40800.0,46300.0,48900.0,MC,156480.0,148160.0,130560.0,195600.0
MC010,PDA stenting,50400.0,57200.0,60400.0,MC,193280.0,183040.0,161280.0,241600.0
MC011,"PTCA, inclusive of
diagnostic angiogram",50800.0,57700.0,60900.0,MC,194880.0,184640.0,162560.0,243600.0
MC012,"Electrophysiological
Study",34700.0,39400.0,41600.0,MC,133120.0,126080.0,111040.0,166400.0
MC012,"Electrophysiological
Study",34700.0,39400.0,41600.0,MC,133120.0,126080.0,111040.0,166400.0
MC013,"Percutaneous
Transluminal Septal
Myocardial Ablation",42500.0,48300.0,51000.0,MC,163200.0,154560.0,136000.0,204000.0
MC014,"Temporary Pacemaker
implantation",24000.0,27300.0,28800.0,MC,92160.0,87360.0,76800.0,115200.0
MC015,"Single Chamber
Permanent
Pacemaker
Implantation",30700.0,34800.0,36800.0,MC,117760.0,111360.0,98240.0,147200.0
MC016,"Double Chamber
Permanent
Pacemaker
Implantation",41300.0,46900.0,49500.0,MC,158400.0,150080.0,132160.0,198000.0
MC017,Peripheral Angioplasty,43200.0,49000.0,51800.0,MC,165760.0,156800.0,138240.0,207200.0
MC018,"Bronchial artery
Embolisation
(for Haemoptysis)",41000.0,46600.0,49200.0,MC,157440.0,149120.0,131200.0,196800.0
MC019,Pericardiocentesis,15200.0,17200.0,18200.0,MC,58240.0,55040.0,48640.0,72800.0
MC020,"Systemic
Thrombolysis (for MI)",22400.0,25500.0,26900.0,MC,86080.0,81600.0,71680.0,107600.0
MC021,Embolization,50800.0,57700.0,60900.0,MC,194880.0,184640.0,162560.0,243600.0
MC022,follow up -Cardiology,0.0,0.0,0.0,MC,0.0,0.0,0.0,0.0
MC022,follow up -Cardiology,4400.0,5000.0,5000.0,MC,16000.0,16000.0,14080.0,20000.0
MC022,follow up -Cardiology,2200.0,2500.0,2500.0,MC,8000.0,8000.0,7040.0,10000.0
MC022,follow up -Cardiology,2200.0,2500.0,2500.0,MC,8000.0,8000.0,7040.0,10000.0
MC022,follow up -Cardiology,2200.0,2500.0,2500.0,MC,8000.0,8000.0,7040.0,10000.0
MG037,Cardiac Tamponade,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG031,Endocarditis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG031,Endocarditis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG036,Atrial Fibrillation,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG038,"Congestive heart
failure",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG075,"High end radiological
diagnostic
(CT, MRI, Imaging
including nuclear
imaging)",5000.0,5800.0,5800.0,MG,18560.0,18560.0,16000.0,23200.0
MG076,"High end
histopathology
(Biopsies) and
advanced serology
investigations",5000.0,5800.0,5800.0,MG,18560.0,18560.0,16000.0,23200.0
MG098,PET scan,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG001,Acute febrile illness,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG002,Severe sepsis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG002,Severe sepsis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG003,Malaria,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG003,Malaria,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG004,Dengue fever,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG004,Dengue fever,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG004,Dengue fever,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG005,Chikungunya fever,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG006,Enteric fever,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG007,HIV with complications,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG008,Leptospirosis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG009,"Acute gastroenteritis
with dehydration",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG009,"Acute gastroenteritis
with dehydration",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG010,"Chronic PD catheter
Insertion",4100.0,4700.0,4700.0,MG,15040.0,15040.0,13120.0,18800.0
MG0101,"Acute severe
ulcerative colitis",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0102,Mesenteric Ischemia,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0103,Intestinal obstruction,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0104,"Acute necrotizing
severe pancreatitis",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0105,"Pulmonary
Thromboembolism (
Including thrombolytic
Therapy)",25000.0,28800.0,28800.0,MG,92160.0,92160.0,80000.0,115200.0
MG0106,"Diffuse alveolar
Hemorrhage
Associated with
SLE/Vasculitis/GP
Syndrome",136000.0,156400.0,156400.0,MG,500480.0,500480.0,435200.0,625600.0
MG0107,"Severe/Refractory
Vasculitis",75000.0,86300.0,86300.0,MG,276160.0,276160.0,240000.0,345200.0
MG0108,"Acute liver
failure/Fulminant
Hepatitis",50000.0,57500.0,57500.0,MG,184000.0,184000.0,160000.0,230000.0
MG0109,"Pulmonary
thromboembolism",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG010,Diarrohea,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG010,Diarrohea,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0110,Acute liver failure,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0111,Pleural Effusion,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0112,Hyberbilirubinemia,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0113,Polytrauma,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0113,"Trauma-
FacioMaxillary",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0113,Trauma Head injury,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0113,"Trauma Rib fracture
conservative",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0113,"Trauma Blunt injury
conservative",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0113,"Trauma Contusion
chest injury",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0114,"Oesophageal Varices
Banding",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0115,"Inflammatory
Myopathy/
Myaesthenic Crisis",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0116,"Guillain Barre
syndrome",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0116,"Myasthenic crisis
(Plasmapheresis)",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0117,"Moyamoya
revascularization",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0118,"Evaluation of drug
resistant epilepsy-
Phase-1",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0119,Drug resistant epilepsy,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG011,Dysentery,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG0120,"Medical/ neuro
rehablitation",25000.0,28800.0,28800.0,MG,92160.0,92160.0,80000.0,115200.0
MG0120,"Medical/ neuro
rehablitation",35000.0,40300.0,40300.0,MG,128960.0,128960.0,112000.0,161200.0
MG0120,"Medical/ neuro
rehablitation",15000.0,17300.0,17300.0,MG,55360.0,55360.0,48000.0,69200.0
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920.0,25920.0,22400.0,32400.0
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920.0,25920.0,22400.0,32400.0
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920.0,25920.0,22400.0,32400.0
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920.0,25920.0,22400.0,32400.0
MG012,Acute viral hepatitis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG013,Chronic Hepatitis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG014,Liver abscess,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG015,Visceral leishmaniasis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG016,Pneumonia,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG017,Severe pneumonia,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG018,Empyema,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG019,Lung abscess,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG020,"Pericardial
tuberculosis",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG020,Pleural tuberculosis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG021,Urinary Tract Infection,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG022,Viral Encephalitis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG023,Septic Arthritis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG024,"Skin and soft tissue
infections",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG025,"Recurrent vomiting
with dehydration",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG026,"Pyrexia of unknown
origin",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG027,Bronchiectasis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG028,Acute bronchitis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG029,"Acute excaberation of
COPD",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG030,"Acute excaberation of
Interstitial Lung
Disease",0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG031,Endocarditis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG031,Endocarditis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG032,Vasculitis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG033,Pancreatitis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG033,Pancreatitis,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
MG034,Ascites,0.0,0.0,0.0,MG,0.0,0.0,0.0,0.0
